When,Vehicle,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
01/01/1955,"Total, new motor vehicles",0,0,21386,0,0,0,0,0,0,0,0
02/01/1955,"Total, new motor vehicles",0,0,26296,0,0,0,0,0,0,0,0
02/01/1955,Trucks,0,0,4212,0,0,0,0,0,0,0,0
02/01/1955,Passenger cars,0,0,22084,0,0,0,0,0,0,0,0
03/01/1955,Passenger cars,0,0,30937,0,0,0,0,0,0,0,0
03/01/1955,Trucks,0,0,4687,0,0,0,0,0,0,0,0
03/01/1955,"Total, new motor vehicles",0,0,35624,0,0,0,0,0,0,0,0
04/01/1955,"Total, new motor vehicles",0,0,53911,0,0,0,0,0,0,0,0
04/01/1955,Trucks,0,0,7909,0,0,0,0,0,0,0,0
04/01/1955,Passenger cars,0,0,46002,0,0,0,0,0,0,0,0
05/01/1955,Passenger cars,0,0,52279,0,0,0,0,0,0,0,0
05/01/1955,Trucks,0,0,8770,0,0,0,0,0,0,0,0
05/01/1955,"Total, new motor vehicles",0,0,61049,0,0,0,0,0,0,0,0
06/01/1955,"Total, new motor vehicles",0,0,54913,0,0,0,0,0,0,0,0
06/01/1955,Trucks,0,0,8990,0,0,0,0,0,0,0,0
06/01/1955,Passenger cars,0,0,45923,0,0,0,0,0,0,0,0
07/01/1955,Passenger cars,0,0,40000,0,0,0,0,0,0,0,0
07/01/1955,Trucks,0,0,7434,0,0,0,0,0,0,0,0
07/01/1955,"Total, new motor vehicles",0,0,47434,0,0,0,0,0,0,0,0
08/01/1955,"Total, new motor vehicles",0,0,42045,0,0,0,0,0,0,0,0
08/01/1955,Trucks,0,0,8595,0,0,0,0,0,0,0,0
08/01/1955,Passenger cars,0,0,33450,0,0,0,0,0,0,0,0
09/01/1955,Passenger cars,0,0,24939,0,0,0,0,0,0,0,0
09/01/1955,Trucks,0,0,6905,0,0,0,0,0,0,0,0
09/01/1955,"Total, new motor vehicles",0,0,31844,0,0,0,0,0,0,0,0
10/01/1955,"Total, new motor vehicles",0,0,33418,0,0,0,0,0,0,0,0
10/01/1955,Trucks,0,0,7283,0,0,0,0,0,0,0,0
10/01/1955,Passenger cars,0,0,26135,0,0,0,0,0,0,0,0
11/01/1955,Passenger cars,0,0,23594,0,0,0,0,0,0,0,0
11/01/1955,Trucks,0,0,5368,0,0,0,0,0,0,0,0
11/01/1955,"Total, new motor vehicles",0,0,28962,0,0,0,0,0,0,0,0
12/01/1955,"Total, new motor vehicles",0,0,28796,0,0,0,0,0,0,0,0
